symbol,name,quantity,cost_price,current_price,profit_loss,profit_loss_percent
002371,北方华创,100,473.688,475.0,131.20000000000118,0.2769755619732845
300308,中际旭创,100,591.657,531.91,-5974.700000000007,-10.09824949252693
600170,上海建工,12000,2.98,2.93,-599.9999999999978,-1.6778523489932826
003816,中国广核,1900,3.92,3.89,-56.99999999999963,-0.7653061224489747
